playerID,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
suzukic01,2025,BBWAA,395,297,393,Y,Player,NA
sabatch01,2025,BBWAA,395,297,342,Y,Player,NA
wagnebi02,2025,BBWAA,395,297,325,Y,Player,NA
beltrca01,2025,BBWAA,395,297,277,N,Player,NA
jonesan01,2025,BBWAA,395,297,261,N,Player,NA
utleych01,2025,BBWAA,395,297,157,N,Player,NA
rodrial01,2025,BBWAA,395,297,146,N,Player,NA
ramirma02,2025,BBWAA,395,297,135,N,Player,NA
pettian01,2025,BBWAA,395,297,110,N,Player,NA
hernafe02,2025,BBWAA,395,297,81,N,Player,NA
abreubo01,2025,BBWAA,395,297,77,N,Player,NA
rolliji01,2025,BBWAA,395,297,71,N,Player,NA
vizquom01,2025,BBWAA,395,297,70,N,Player,NA
pedrodu01,2025,BBWAA,395,297,47,N,Player,NA
buehrma01,2025,BBWAA,395,297,45,N,Player,NA
rodrifr03,2025,BBWAA,395,297,40,N,Player,NA
wrighda03,2025,BBWAA,395,297,32,N,Player,NA
hunteto01,2025,BBWAA,395,297,20,N,Player,NA
kinslia01,2025,BBWAA,395,297,10,N,Player,NA
martiru01,2025,BBWAA,395,297,9,N,Player,NA
mccanbr01,2025,BBWAA,395,297,7,N,Player,NA
tulowtr01,2025,BBWAA,395,297,4,N,Player,NA
jonesad01,2025,BBWAA,395,297,3,N,Player,NA
grandcu01,2025,BBWAA,395,297,3,N,Player,NA
gonzaca01,2025,BBWAA,395,297,2,N,Player,NA
zobribe01,2025,BBWAA,395,297,0,N,Player,NA
rodnefe01,2025,BBWAA,395,297,0,N,Player,NA
ramirha01,2025,BBWAA,395,297,0,N,Player,NA
