"playerID","yearID","votedBy","ballots","needed","votes","inducted","category","needed_note"
"suzukic01",2025,"BBWAA",394,296,393,"Y","Player",NA
"sabatc.01",2025,"BBWAA",394,296,342,"Y","Player",NA
"wagnebi02",2025,"BBWAA",394,296,325,"Y","Player",NA
"beltrca01",2025,"BBWAA",394,296,277,"N","Player",NA
"jonesan01",2025,"BBWAA",394,296,261,"N","Player",NA
"utleych01",2025,"BBWAA",394,296,157,"N","Player",NA
"rodrial01",2025,"BBWAA",394,296,146,"N","Player",NA
"ramirma02",2025,"BBWAA",394,296,135,"N","Player",NA
"pettian01",2025,"BBWAA",394,296,110,"N","Player",NA
"hernafe02",2025,"BBWAA",394,296,81,"N","Player",NA
"abreubo01",2025,"BBWAA",394,296,77,"N","Player",NA
"rolliji01",2025,"BBWAA",394,296,71,"N","Player",NA
"vizquom01",2025,"BBWAA",394,296,70,"N","Player",NA
"pedrodu01",2025,"BBWAA",394,296,47,"N","Player",NA
"buehrma01",2025,"BBWAA",394,296,45,"N","Player",NA
"rodrifr03",2025,"BBWAA",394,296,40,"N","Player",NA
"wrighda03",2025,"BBWAA",394,296,32,"N","Player",NA
"hunteto01",2025,"BBWAA",394,296,20,"N","Player",NA
"kinslia01",2025,"BBWAA",394,296,10,"N","Player",NA
"martiru01",2025,"BBWAA",394,296,9,"N","Player",NA
"mccanbr01",2025,"BBWAA",394,296,7,"N","Player",NA
"tulowtr01",2025,"BBWAA",394,296,4,"N","Player",NA
"jonesad01",2025,"BBWAA",394,296,3,"N","Player",NA
"grandcu01",2025,"BBWAA",394,296,3,"N","Player",NA
"gonzaca01",2025,"BBWAA",394,296,2,"N","Player",NA
"zobribe01",2025,"BBWAA",394,296,0,"N","Player",NA
"rodnefe01",2025,"BBWAA",394,296,0,"N","Player",NA
"ramirha01",2025,"BBWAA",394,296,0,"N","Player",NA
"parkeda01",2025,"Classic Baseball Era",16,12,14,"Y","Player",NA
"allendi01",2025,"Classic Baseball Era",16,12,13,"Y","Player",NA
